(x1-2)^2+(x2+1)^2
x1,x2
n = 0, x_n = [0. 0.], f_n = 5.0, grad_fx = [-4.  2.], beta = 0.0
n = 1, x_n = [ 2. -1.], f_n = 9.860761316248724e-21, grad_fx = [-8.88198403e-11 -1.77634685e-10], beta = 0.4999999999745197
n = 2, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 0.5006238280942977
n = 3, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
n = 4, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
n = 5, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
n = 6, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
n = 7, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
n = 8, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
n = 9, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
n = 10, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
n = 11, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
n = 12, x_n = [ 2. -1.], f_n = 1.535818505232815e-26, grad_fx = [1.10800168e-13 2.21600548e-13], beta = 1e-08
